PhoneNumber,CustomerName,PlanType
8001633116,Vivaan Sharma,POSTPAID_999
9875347906,Poonam Kumar,VAT_799
9357850342,Sara Kumar,DATA_99
8702573501,Ishaan Sharma,VAT_499
8573166664,Aarav Verma,POSTPAID_1499
8467549216,Rahul Sharma,PREPAID_149
8880977633,Meena Sharma,VAT_799
7919067504,Kavita Sharma,POSTPAID_1499
7217478421,Swati Mehta,DATA_99
8277177573,Aaryan Sharma,DATA_99
7389209012,Preeti Verma,PREPAID_199
7950894072,Aaryan Gupta,PREPAID_199
7547106747,Sneha Singh,PREPAID_199
8772429792,Ishaan Gupta,DATA_99
9273756165,Vivaan Verma,VAT_499
7041975554,Shaurya Gupta,POSTPAID_1499
8128882741,Sara Singh,POSTPAID_999
7651883007,Prakash Gupta,PREPAID_199
8712441334,Ira Singh,POSTPAID_999
7930371698,Arjun Kumar,VAT_799
8094631778,Sai Singh,VAT_499
9863133509,Kavita Gupta,POSTPAID_999
8234564524,Arjun Singh,PREPAID_149
8410722267,Kavita Verma,POSTPAID_999
9882744340,Prakash Verma,VAT_799
9893663776,Priya Singh,PREPAID_199
7387513087,Kyra Kumar,VAT_499
8086207214,Preeti Singh,POSTPAID_1499
9431436574,Zara Gupta,PREPAID_149
8656553610,Sunita Mehta,VAT_499
9870433034,Amit Singh,VAT_499
8694073261,Kavita Singh,VAT_499
8534945665,Ira Verma,POSTPAID_999
7535596394,Kavita Kumar,POSTPAID_1499
9489804162,Preeti Verma,DATA_99
9572434657,Ira Verma,POSTPAID_999
7722262634,Rohan Gupta,VAT_799
8176964584,Ira Singh,POSTPAID_999
9121939189,Sai Sharma,POSTPAID_1499
7883791887,Ananya Singh,POSTPAID_1499
9317763179,Aarav Verma,PREPAID_199
7893343545,Rahul Sharma,POSTPAID_1499
8729867044,Sanjay Sharma,PREPAID_199
9662521018,Sanjay Verma,POSTPAID_1499
7611794255,Saanvi Sharma,PREPAID_149
7212748461,Aditya Kumar,PREPAID_199
7241097876,Priya Singh,POSTPAID_1499
7195781051,Saanvi Sharma,POSTPAID_999
8205582760,Kavita Mehta,VAT_799
9545665021,Sai Kumar,PREPAID_199
8685463302,Priya Mehta,PREPAID_149
9981007339,Rajesh Mehta,POSTPAID_1499
9872201132,Kyra Sharma,POSTPAID_1499
8155891785,Shaurya Kumar,PREPAID_149
7343404752,Meena Kumar,PREPAID_149
8881387492,Diya Kumar,POSTPAID_999
7062244601,Sara Gupta,PREPAID_149
7845631166,Manish Verma,POSTPAID_1499
8982967719,Krishna Kumar,PREPAID_199
9678240058,Aditya Verma,POSTPAID_999
7255335709,Abhishek Mehta,POSTPAID_999
9888277979,Abhishek Sharma,VAT_799
7901774370,Zara Singh,VAT_499
7534043314,Abhishek Verma,PREPAID_199
8730604359,Manish Kumar,VAT_499
7342758025,Manish Kumar,PREPAID_199
7986009571,Abhishek Kumar,PREPAID_149
9852122780,Shaurya Mehta,PREPAID_199
7217374780,Zara Singh,VAT_499
7871140247,Arjun Singh,POSTPAID_1499
9372348690,Saanvi Kumar,VAT_799
9928034566,Ishaan Kumar,VAT_799
7437612785,Shaurya Verma,VAT_799
7736069204,Poonam Sharma,PREPAID_149
7619557201,Kavita Verma,PREPAID_199
7806451293,Anika Mehta,PREPAID_199
8277356951,Manish Mehta,POSTPAID_1499
9487891588,Aditya Mehta,POSTPAID_1499
7068478076,Sai Gupta,VAT_499
7329456605,Saanvi Gupta,PREPAID_199
7428667568,Poonam Verma,DATA_99
8970149307,Prakash Kumar,VAT_799
7004213651,Meena Verma,PREPAID_199
9852642944,Rohan Verma,POSTPAID_999
9496692216,Aadhya Verma,POSTPAID_1499
7943316301,Abhishek Gupta,PREPAID_199
8132498295,Vihaan Verma,DATA_99
9533148329,Manish Singh,DATA_99
9147678960,Manish Mehta,PREPAID_199
7732478794,Meena Sharma,POSTPAID_999
7310244540,Diya Kumar,PREPAID_149
8322218399,Sneha Mehta,PREPAID_149
9732696650,Diya Verma,PREPAID_199
8324234384,Ananya Mehta,VAT_799
9809755073,Kavita Gupta,VAT_499
9727313153,Aarav Singh,DATA_99
9552601570,Manish Sharma,POSTPAID_999
8521089538,Rahul Sharma,VAT_499
7010148567,Shaurya Mehta,POSTPAID_999
8607910708,Poonam Kumar,PREPAID_149
